ELASTIC 0.0,,FORMATION 5.8,,IONIZATION 12.6,,VIBRATION 0.2,,VIBRATION 0.45,,VIBRATION 0.47,,EXCITATION 7.49,,EXCITATION 10.12,,EXCITATION 9.2,,EXCITATION 9.73,,EXCITATION 10.55,,EXCITATION 10.77,,EXCITATION 10.84,,EXCITATION 11.75,,EXCITATION 12.06,,ANNIHILATION 0.0,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.517534265008933,65.428186395614,6.03831655336791,1.45354236924325,13.4960949292133,0.364512011390519,3.2649402240846,0.404355761454155,3.2649402240846,0.103882750571011,3.14760370670753,0.201583847761871,15.0364189455922,0.115023261850783,15.0364189455922,0.0338956179412936,15.0364189455922,0.0380659146604318,15.05726022048,0.0269105236354205,19.9853939503169,0.0484667955011095,19.9853939503169,0.0109054013338637,19.9267256916284,0.023374416957618,19.9853939503169,0.0243632546715089,19.9853939503169,0.049686798803475,0.0621542694689817,9.8260683755314E-24
1.03770128466121,50.1928595594411,7.02570374335436,2.32335380849262,13.9202421221293,0.467916378170001,3.03026718933046,0.42496881051955,3.08893544801899,0.115698888665038,2.73692589588778,0.215400625271084,17.0232136913562,0.144794414229457,16.4204782066862,0.044876612753257,16.8892724725407,0.0471987452981842,15.937284100808,0.0320257364033065,30.0176661860563,0.0567313966211832,30.0176661860563,0.0153178108247767,29.9589979273677,0.0280489537712183,30.0176661860563,0.0438790748891727,29.9589979273677,0.0872903960536273,0.0664615493958777,8.71748628396001E-24
1.40311631615207,41.351996546896,6.55347508727388,1.87864614231313,14.2550951691681,0.571342922456166,2.73692589588778,0.450349186639711,2.73692589588778,0.122608763550711,2.38491634375657,0.230164419829822,19.0267510894722,0.181339604387713,17.3431843807489,0.0532628110172729,17.994287527769,0.0527059225811043,16.9346444985131,0.0384304088309164,39.9912701631071,0.0669578573535503,39.9912701631071,0.0203029630902254,40.0499384217957,0.0241621959105166,39.9912701631071,0.058643392984889,39.9912701631071,0.105618804516636,0.071879277083968,7.66170021958528E-24
1.77420887044622,35.0751879762974,8.18715207434236,2.70137719454942,14.589948216207,0.697630496110042,2.50225286113364,0.481216612687687,2.2675798263795,0.141157147809231,2.03290679162538,0.239901358258541,20.0034058100022,0.203057882989861,18.384949415981,0.0643558491284439,19.8461263485143,0.0634704801031125,18.1666779309723,0.049686798803475,49.964874140158,0.0606198286240674,50.0235423988465,0.0209872260189203,49.964874140158,0.0180790153823059,50.0235423988465,0.066405284882437,49.964874140158,0.0830563883517647,0.0784045283785156,6.65967326914465E-24
2.20038547576844,29.4603844115964,9.25090241064264,3.231069472768,15.1201322073519,0.894616297054986,2.2675798263795,0.514199725893748,1.97423853293684,0.154628952707774,1.85690201555977,0.256344459866225,21.7334798863698,0.208409444517734,19.8111753570725,0.0852496827669479,20.5893986423203,0.0638463388004459,19.222706587366,0.0601195609956635,59.5864685650776,0.0472767480037791,59.6451368237662,0.0215155152277662,56.770392148028,0.00979165054836758,59.5864685650776,0.0715472221653606,59.7038050824547,0.0273602433480708,,5.7646660601536E-24
2.6282532580959,24.2274184560093,10.4600939693942,3.45699862000345,16.3758311337477,1.05689879986543,2.03290679162538,0.554015574076962,1.68089723949416,0.182502529018826,1.5635607221171,0.278492159088798,23.3705392274488,0.21384584749457,20.7847295864263,0.0876344798066327,22.0543807231154,0.0602701422841826,19.9853939503169,0.0697904608239413,,,,,,,,,,,0.096995573154635,4.85060853473868E-24
3.02229750031842,20.4111732733831,11.6878884752034,3.61780232541862,17.6036256395569,1.22590666010214,1.85690201555977,0.591988407757083,1.44622420474003,0.208377750377669,1.38755594605149,0.290273567387846,24.3564954215077,0.216105333217624,22.5148036627939,0.0903704934327871,23.0170832333522,0.0584622184833475,22.3907925565468,0.0733482045990936,,,,,,,,,,,0.11126221081183,3.98291837810433E-24
3.85073263617436,17.2439101070418,12.9156829810126,3.72182194696479,18.8314201453662,1.42397989739523,1.68089723949416,0.627343681075332,1.32888768736295,0.224512992105727,1.24088529933015,0.310169235329164,26.1981871802215,0.221276848575597,24.1518630038728,0.0927278262333855,24.7471573097197,0.0547637275592076,25.3242054909735,0.0777287731829094,,,,,,,,,,,0.129959277083968,3.22487146809432E-24
4.58728668286609,15.1056924218369,14.1434774868218,3.83536216951574,20.0592146511754,1.63989328502512,1.38755594605149,0.692934798110203,1.15288291129735,0.235958104957468,1.15288291129735,0.323290719306209,26.9795109566456,0.2236148499259,25.1378191979317,0.0937075843252956,25.6400987684901,0.0527059225811043,27.6122675798264,0.0796853572523019,,,,,,,,,,,0.153089035342767,2.59862753460398E-24
5.70039708648436,14.3408473877062,15.3712719926311,3.92615954212315,21.2870091569846,1.70337638202113,1.09421465260881,0.75906735003855,1.09421465260881,0.250050210787774,1.03554639392029,0.336967298122293,28.7653938741863,0.230172516242035,26.9795109566456,0.0959500565691842,27.1549101717612,0.0519984701936599,30.0763344447448,0.0837475181893151,,,,,,,,,,,0.177344898882212,2.1556763523456E-24
6.9255340284282,12.5807553107124,16.5990664984403,3.87931361234018,22.5148036627939,1.76804953344652,1.03554639392029,0.811094656821483,0.976878135231758,0.260628403144042,0.918209876543216,0.363059569489076,29.9931883799955,0.233830124331278,27.8166435742428,0.0970913369723303,28.2073054624548,0.0495008886800635,34.1244442942537,0.0940495228716805,,,,,,,,,,,0.201615914859838,1.8389975045678E-24
