ELASTIC 0.0,,ROTATION 0.0023,,ROTATION 0.0048,,ROTATION 0.0045,,VIBRATION 0.2,,VIBRATION 0.459,,EXCITATION 4.99,,EXCITATION 6.3,,EXCITATION 9.0,,EXCITATION 12.0,,ATTACHMENT 6.54,,IONIZATION 12.9,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0010921558160792058,37087.66365109932,0.0024312329167281883,72.85191032612443,0.009762144876947033,61.73439577957254,0.01051018344383432,61.07757891704485,0.20110311266732628,0.1068960396769475,0.4590152833938207,0.10107740623774594,4.998945174373423,0.10063692148829159,6.328527125133014,0.10055581138103883,9.081013919230235,0.10005119252535019,12.104823231066035,0.0995741921922916,5.583073395267307,0.09945968335757727,12.934965607109254,0.09955161433173497
0.0012068518059552835,30603.65094621603,0.0025860618873619276,111.37384513768902,0.012395488865950564,56.79591665915352,0.013620817822129257,54.544759774425316,0.21442140003196475,0.506809899607654,0.4726472839712939,0.8731491270875057,5.486984996284664,3.83486134584196,8.013457383031017,0.9876231142351717,11.00470459870903,1.0765669224948982,12.980184068947175,2.625712024360239,5.810335419918081,0.24921841454480922,13.452335519368747,0.2032127881656749
0.0014879632051556994,25076.91887781067,0.003075473626881102,140.54550410942858,0.016065172719755026,50.41870698079292,0.01765515256750325,47.955456204846996,0.23588045723161474,4.103485218186876,0.48227125569828955,4.466956780063717,5.950344581443266,3.8337986110613635,9.016377108765864,0.9872250378492917,13.037545432988667,1.0759432081120393,15.955194005848142,2.6238602218803457,5.997835609509027,0.49539638219618387,13.781351237079486,0.37727489150387566
0.001909256467153206,19082.88898054437,0.003976218426537955,155.5276917192428,0.020828477927985,43.38410804776878,0.022892716125358738,40.80776839774845,0.24120248541533038,4.360129633816079,0.4898335578488111,5.716839526913243,6.566084061554273,0.10054314383331658,10.758637096023051,0.1003735525762927,19.688809454719543,0.10016638236992942,24.560473754321897,0.09971144184317023,6.090810893562912,0.6011947019447782,14.224643294762624,0.7275132817376346
0.0024494596065487142,14721.771659024158,0.0051481539824148066,151.2593919944174,0.027008439758820064,36.79469834538618,0.02968478539761591,34.648212517977385,0.24845656073115935,4.562891566511352,0.493575108333903,6.144273581674371,,,,,,,,,6.1377989543693605,0.6610311826118039,15.217022850519827,1.0158484059435606
0.003105831399911993,11369.973332067524,0.0066716045707756536,135.47659138619508,0.03502377412065188,31.067489510944384,0.0384958110900205,29.15758181931135,0.26354938591892196,4.57932340686835,0.49730764544858075,6.454949211830635,,,,,,,,,6.276124263047209,0.6970614344048205,16.395540788876442,1.329774103986539
0.003984577484950885,8774.460520109886,0.014887248541122217,84.86590766067299,0.045423448586610314,25.94137092556934,0.0499307665162683,24.157631977549908,0.2836924044309563,4.5091745700998285,0.5122381744758967,6.653324978134703,,,,,,,,,6.416515986656421,0.6996598250566095,17.925389547374774,1.6757832900663105
0.00511186242412427,6782.00621586699,0.019307460419682593,70.95779667720716,0.05892131907341007,21.326121351013807,0.0647656125001496,19.92615749135519,0.4443970481638106,3.598783019000616,0.5353707090490603,6.552065661933394,,,,,,,,,6.559800225209424,0.6943152260482799,19.740968076051445,2.04860023771847
0.006558113101815928,5238.876026533081,0.02504386748190051,58.528759488660384,0.07642071659956562,17.728213738980283,0.08400281977904886,16.52760144348876,0.507299516345595,3.30892617156396,0.5432384070007621,6.259964033901469,,,,,,,,,6.6566209997436605,0.6760733784277793,22.554530070712353,2.4383772605023815
0.009819860134486238,3346.4396531666007,0.03248380527145039,48.384398585294385,0.09912594705828512,14.622922450826852,0.10896210376528247,13.617444506571506,0.623217262367988,2.78733224654081,0.571869970242683,5.845456895378749,,,,,,,,,6.703834375066355,0.6171828610063748,25.199873413425003,2.7108196957364465
0.012597970040833977,2587.4131525893004,0.042141267856839124,39.3798052799735,0.12858822233028902,11.9679418186238,0.14135138399039543,11.120237850175101,0.7599811123649871,2.3302575521915316,0.6244669008110955,5.097222559605715,,,,,,,,,6.851031096284116,0.5486192288883013,33.365739254209004,3.2743137894999905
0.01597357985294992,2000.7688015550123,0.05467125449100668,31.97974168857208,0.1668279249848075,9.686583158869551,0.18339341367402456,8.970465356337732,0.9974888555024852,1.8609091186885673,0.7021261734748069,4.119369639306556,,,,,,,,,6.950048622488633,0.4876847060758973,28.99749606299421,3.0019806207733177
0.02049510581013346,1530.1789492600537,0.07091804719797484,26.260953398510892,0.2164768708136081,7.718873837966131,0.22967074674074905,7.361195914925686,1.7840268719189922,1.440114852127218,0.8371774887053232,3.085078314619861,,,,,,,,,7.103009428072571,0.4401403084371312,42.25554367437702,3.652436824025597
0.02660805568084302,1164.9453112125475,0.09199862865096309,21.445143236888462,0.2808182601996021,6.31741249457645,0.6744542217422294,2.970187297468243,4.100383493861317,1.1968026078356575,0.9141066026550886,2.6295962304077216,,,,,,,,,7.204851813676473,0.37811235304563406,54.705452162986724,3.967083406470942
0.0345417143948828,892.8311678435955,0.11934842211493746,17.473527329174612,0.36434631806049933,5.090456338932038,0.8751431889918111,2.374747356708347,2.714407294326108,1.278390068796829,1.0355320102914378,2.215700729766169,,,,,,,,,7.417982952908452,0.34253948496949027,71.87610236796259,4.325006599259703
0.04431677646339817,686.1857347303827,0.17845215777132448,12.695226873792464,0.47277202157545306,4.06091092323699,1.1354222886541154,1.9177929811627978,4.857886834812428,1.200658647327964,1.0982292262057696,2.1005915856361748,,,,,,,,,7.525668638107058,0.3103289558727235,88.35985594900764,4.472174749786158
