ELASTIC 0.0,,FORMATION 5.8,,IONIZATION 12.6,,VIBRATION 0.2,,VIBRATION 0.45,,VIBRATION 0.47,,EXCITATION 7.49,,EXCITATION 10.12,,EXCITATION 9.2,,EXCITATION 9.73,,EXCITATION 10.55,,EXCITATION 10.77,,EXCITATION 10.84,,EXCITATION 11.75,,EXCITATION 12.06,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.5175342650089334,65.428186395614,6.038316553367906,1.4535423692432519,13.496094929213342,0.3645120113905188,3.2649402240845973,0.40435576145415464,3.2649402240845973,0.10388275057101132,3.147603706707528,0.20158384776187113,15.036418945592189,0.11502326185078342,15.036418945592189,0.03389561794129364,15.036418945592189,0.03806591466043181,15.057260220480003,0.026910523635420545,19.985393950316904,0.04846679550110946,19.985393950316904,0.010905401333863713,19.926725691628377,0.023374416957618008,19.985393950316904,0.024363254671508856,19.985393950316904,0.04968679880347502
1.0377012846612104,50.19285955944113,7.025703743354356,2.323353808492622,13.920242122129252,0.46791637817000103,3.030267189330459,0.4249688105195505,3.0889354480189866,0.11569888866503816,2.7369258958877793,0.2154006252710844,17.023213691356204,0.1447944142294573,16.420478206686226,0.04487661275325698,16.889272472540654,0.04719874529818415,15.937284100808029,0.032025736403306485,30.01766618605629,0.05673139662118318,30.01766618605629,0.015317810824776717,29.958997927367747,0.028048953771218264,30.01766618605629,0.04387907488917267,29.958997927367747,0.08729039605362734
1.4031163161520652,41.35199654689595,6.553475087273881,1.8786461423131344,14.25509516916813,0.5713429224561656,2.7369258958877793,0.45034918663971096,2.7369258958877793,0.12260876355071071,2.384916343756572,0.23016441982982172,19.02675108947217,0.18133960438771252,17.34318438074891,0.053262811017272926,17.99428752776896,0.05270592258110429,16.93464449851311,0.038430408830916425,39.991270163107146,0.06695785735355031,39.991270163107146,0.02030296309022539,40.04993842179569,0.024162195910516573,39.991270163107146,0.058643392984888985,39.991270163107146,0.1056188045166365
1.7742088704462162,35.07518797629739,8.187152074342364,2.7013771945494196,14.589948216207006,0.6976304961100417,2.502252861133641,0.4812166126876872,2.267579826379503,0.14115714780923125,2.032906791625379,0.23990135825854061,20.00340581000225,0.20305788298986127,18.384949415980984,0.06435584912844394,19.84612634851429,0.06347048010311251,18.16667793097234,0.04968679880347502,49.96487414015799,0.06061982862406738,50.023542398846516,0.020987226018920314,49.96487414015799,0.018079015382305948,50.023542398846516,0.06640528488243695,49.96487414015799,0.0830563883517647
2.2003854757684422,29.460384411596415,9.250902410642638,3.2310694727679996,15.1201322073519,0.8946162970549865,2.267579826379503,0.5141997258937475,1.9742385329368375,0.15462895270777358,1.8569020155597684,0.2563444598662247,21.733479886369793,0.20840944451773363,19.81117535707253,0.08524968276694794,20.58939864232029,0.06384633880044593,19.222706587365963,0.06011956099566346,59.58646856507764,0.047276748003779054,59.64513682376618,0.021515515227766173,56.770392148027994,0.00979165054836758,59.58646856507764,0.07154722216536055,59.70380508245472,0.02736024334807078
2.6282532580958957,24.22741845600934,10.460093969394151,3.456998620003451,16.37583113374771,1.0568987998654347,2.032906791625379,0.5540155740769617,1.6808972394941577,0.18250252901882585,1.5635607221171028,0.27849215908879793,23.37053922744876,0.2138458474945696,20.784729586426295,0.08763447980663265,22.054380723115386,0.060270142284182586,19.985393950316904,0.06979046082394129,,,,,,,,,,
3.022297500318416,20.4111732733831,11.68788847520338,3.6178023254186167,17.603625639556938,1.225906660102143,1.8569020155597684,0.5919884077570831,1.4462242047400338,0.2083777503776692,1.3875559460514921,0.2902735673878458,24.356495421507688,0.21610533321762385,22.514803662793852,0.09037049343278714,23.017083233352167,0.058462218483347525,22.390792556546813,0.0733482045990936,,,,,,,,,,
3.8507326361743566,17.243910107041778,12.915682981012608,3.721821946964793,18.831420145366167,1.4239798973952267,1.6808972394941577,0.6273436810753316,1.3288876873629505,0.22451299210572734,1.2408852993301451,0.310169235329164,26.198187180221538,0.22127684857559676,24.15186300387282,0.0927278262333855,24.74715730971971,0.05476372755920757,25.324205490973526,0.0777287731829094,,,,,,,,,,
4.587286682866093,15.105692421836888,14.143477486821837,3.8353621695157374,20.059214651175395,1.6398932850251198,1.3875559460514921,0.6929347981102025,1.152882911297354,0.2359581049574679,1.152882911297354,0.32329071930620945,26.979510956645584,0.22361484992589975,25.137819197931748,0.09370758432529565,25.640098768490063,0.05270592258110429,27.61226757982638,0.07968535725230186,,,,,,,,,,
5.700397086484358,14.340847387706221,15.371271992631065,3.926159542123148,21.287009156984624,1.7033763820211278,1.0942146526088123,0.7590673500385504,1.0942146526088123,0.25005021078777406,1.035546393920285,0.3369672981222934,28.765393874186287,0.2301725162420351,26.979510956645584,0.0959500565691842,27.154910171761188,0.05199847019365986,30.07633444474483,0.08374751818931507,,,,,,,,,,
6.925534028428203,12.580755310712362,16.599066498440294,3.879313612340183,22.514803662793852,1.7680495334465245,1.035546393920285,0.8110946568214826,0.9768781352317575,0.26062840314404234,0.9182098765432158,0.36305956948907603,29.9931883799955,0.23383012433127848,27.81664357424279,0.09709133697233031,28.207305462454812,0.04950088868006346,34.124444294253706,0.0940495228716805,,,,,,,,,,
7.749378826698447,11.52326298848801,17.85261893094483,3.754034826766191,23.74259816860308,1.8299251519544784,0.8595416178546884,0.8595355940140604,0.9182098765432158,0.2739145896510025,0.8595416178546884,0.3944272618086885,31.44421825049733,0.23848397647992745,29.63043091237006,0.10020155741733261,29.524394114141074,0.04626785758299944,40.04993842179569,0.11474407882879815,,,,,,,,,,
